,Job,Company,Location,Salary,Job Description,Date Posted,Job Rating,City,State/Zip
14,Business Analyst,Steampunk,"McLean, VA 22102",missing,"2 years of functioning as a business analyst for the federal governement.As a Steampunk BA, you will work with Technical/Solutions Architects and Developers to…",PostedToday,4.5,McLean, VA 22102
15,BI Data Analyst,Michael Page,"Hybrid remote in New York, NY 10174",missing,"As a Data Analyst, you will have experience using data warehousing and data visualization for report building.Experience working with ELT/ETL tools.",PostedJust posted,3.5,Hybrid remote in New York, NY 10174
16,Sr Data Analyst,Disney Streaming,"New York, NY+1 location",missing,"Enhancing and Refining data model: Help improve the underlying data model and processes that impact data analysis, dashboard creation and reporting.",PostedJust posted,missing,New York, NY+1 location
17,Sr Data Analyst,Disney Media & Entertainment Distribution,"New York, NY+1 location",missing,"Enhancing and Refining data model: Help improve the underlying data model and processes that impact data analysis, dashboard creation and reporting.",PostedJust posted,missing,New York, NY+1 location
18,IT Business Analyst Senior,Cummins Inc.,"Jamestown, NY",missing,May coach and mentor less experienced business analysts.Minimum of 3 years of relevant experience required.Work with application and technical experts on the…,PostedJust posted,3.8,Jamestown, NY
19,Financial Planning and Analysis Analyst,Confidential Priviately-Held Company,"White Plains, NY+1 location",missing,"Financial analyst: 5 years (Preferred).Bachelor’s degree, ideally in Finance, Economics, Statistics, or Mathematics, with a minimum of 3-5 years’ experience in…",PostedJust posted,missing,White Plains, NY+1 location
20,Data Processing Analyst I,"Arrow Electronics, Inc.","Remote in Melville, NY 11747+1 location",missing,"Identifies and resolves key issues and patterns from partial/conflicting data.Involved during the different data development stages, including but not limited…",PostedToday,3.5,Remote in Melville, NY 11747+1 location
21,"Asset Management - Equities, Research Program Analyst","JPMorgan Chase Bank, N.A.","New York, NY",missing,Undergraduate degree with a data science concentration preference.Experience in working with large data sets.,PostedToday,3.8,New York, NY
22,Healthcare Data Analyst,HumanEdge,"New York, NY 10007 (Tribeca area)",missing,Performing data mining of claims to identify trends or data issues and translating that into financial impact.Bachelor’s degree from an accredited institution.,PostedToday,3.7,New York, NY 10007 (Tribeca area)
23,Research Analyst (Remote),The Mom Project,"Remote in New York, NY",missing,You will focus on leveraging survey data sets to uniquely describe consumer behavior shifts.Optimize and develop scalable sales-ready outputs that productize…,PostedToday,missing,Remote in New York, NY
24,"Data Analyst I, Urology",Mount Sinai,"New York, NY 10003 (East Village area)+7 locations",missing,"Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data.",PostedToday,3.8,New York, NY 10003 (East Village area)+7 locations
25,Lead Data Analyst,ConnectiCare,"New York, NY+1 location",missing,Experience in data analysis and modeling.Responsible for the analysis of entire Emblem network’s physician and ancillary proposals.,PostedToday,3.2,New York, NY+1 location
26,Lead Data Analyst,EmblemHealth,"New York, NY+1 location",missing,Experience in data analysis and modeling.Responsible for the analysis of entire Emblem network’s physician and ancillary proposals.,PostedToday,3.5,New York, NY+1 location
27,Business Analyst,Cognizant Technology Solutions,"New York, NY 10001 (Chelsea area)+3 locations",missing,Cognizant Technology Solutions is seeking a E-commerce Business Analyst to join our Digital Commerce Practice.Handles Change Requests and Virtual Tickets.,PostedToday,3.9,New York, NY 10001 (Chelsea area)+3 locations
28,"Epic Data Analyst (Senior Systems Analyst, Finance), Managed...",NYC Health + Hospitals,"New York, NY",missing,"Able to analyze, and process data from SQL Server.Familiarity with EDP applications and data processing programs; or,.",PostedToday,3.8,New York, NY
29,Business Analyst Consultant,Sia Partners,"New York, NY 10006 (Financial District area)",missing,Experience presenting data-driven analyses based on business benefits to solve highly complex business and technical problems.,PostedToday,3.5,New York, NY 10006 (Financial District area)
30,Business Analyst,The Walt Disney Company (Corporate),"Glendale, CA+1 location",missing,Gathers data and performs the analysis.Researches and troubleshoots issues (data or process) and takes appropriate action to resolve issues.,PostedJust posted,4.1,Glendale, CA+1 location
31,Data Reporting and Analytics Consultant V,Kaiser Permanente,"Oakland, CA+25 locations",missing,Prepares data for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; profiling data inaccuracies and recommending…,PostedJust posted,4.1,Oakland, CA+25 locations
32,"Lead Analytics Consultant, Employee Segment for Diverse Segm...",WELLS FARGO BANK,"San Francisco, CA+9 locations",missing,"Proactively manage data gaps/accuracy, while ensuring the integrity of analysis through rigorous attention to detail and validation in data.",PostedJust posted,3.7,San Francisco, CA+9 locations
33,Data Analyst - Excel Expert Needed ASAP in Pico Rivera,AppleOne,"Montebello, CA 90640+2 locations",missing,Responsible for compiling and arranging data from shared drives and physically from onsite files.Intermediate Microsoft office knowledge/experience.,PostedToday,3.8,Montebello, CA 90640+2 locations
34,Data Analyst,Intermedia Advertising,"Woodland Hills, CA 91367",missing,"Providing technical expertise on data storage structures, data mining, and data cleansing.A data analyst collects and stores data on sales numbers, market…",PostedToday,4.2,Woodland Hills, CA 91367
35,Senior Data Analyst,LifeLong Medical Care,"Berkeley, CA 94710",missing,"Minimum 5 year of experience in programming and data analysis involving duties listed above.Under the supervision of the CMIO, the senior data analyst is a key…",PostedToday,3.3,Berkeley, CA 94710
36,Data Processing Analyst I,"Arrow Electronics, Inc.","Remote in Santa Clara, CA 95051",missing,"Identifies and resolves key issues and patterns from partial/conflicting data.Involved during the different data development stages, including but not limited…",PostedToday,3.5,Remote in Santa Clara, CA 95051
37,Staff Data Analyst - Site Reliability Engineering,ServiceNow,"San Diego, CA 92121 (University City area)+1 location",missing,Driven to use data to improve business processes and outcomes.Strong written and verbal communication skills with emphasis on presenting complex data in an…,PostedToday,3.6,San Diego, CA 92121 (University City area)+1 location
38,Senior Data Analyst,"E2 Consulting Engineers, Inc.","San Diego, CA 92123 (Kearny Mesa area)",missing,"Collaborating with stakeholders to define key metrics, assess/validate data, propose solutions to key problems, and provide overall data analytics strategy.",PostedToday,3.9,San Diego, CA 92123 (Kearny Mesa area)
39,Data Analyst II,Thermo Fisher Scientific,"Carlsbad, CA+5 locations",missing,Identifies data that needs to be systematized and coordinates data collection in compliance with data onboarding policies and procedures.,PostedToday,3.5,Carlsbad, CA+5 locations
40,Lightstream Business Analyst,Truist Financial,"San Diego, CA 92103",missing,"Excellent verbal, written and presentation skills.Serve as a project manager/analyst to oversee top priority initiatives, often in collaboration with several…",PostedToday,3.6,San Diego, CA 92103
41,"Sr. Clinical Data Analyst, CDM",Sorrento Therapeutics,"San Diego, CA 92121 (Sorrento Valley area)",missing,"Strong technical skills and ability to understand data definition tables, structures, and data integration.Awareness/experience in the use of data standards …",PostedToday,3.2,San Diego, CA 92121 (Sorrento Valley area)
42,HR Analyst,Mission Linen Supply,"Santa Barbara, CA 93103 (Lower East area)",missing,Generates data-driven insights through partnership and collaboration with Human Resources team.Supports Company and HR initiatives by assembling data and…,PostedToday,3.1,Santa Barbara, CA 93103 (Lower East area)
43,Financial Analyst,Bellwether Coffee,"Berkeley, CA 94710",missing,Consolidating and analyzing financial and operational data to inform decision-making.Drive process improvement and policy development initiatives that improve…,PostedToday,missing,Berkeley, CA 94710
44,Business Analyst III,Anchor Loans LP,"Thousand Oaks, CA 91362",missing,"3-5 years of business analyst experience.100% paid employee Medical, Dental, Vision, Basic Life/AD&D insurance.401(k) retirement program with employer match.",PostedToday,3.6,Thousand Oaks, CA 91362
45,Business Analyst,NorthCrag,"Austin, TX",missing,"Performs hands on data exploration using SQL or BOBJ reporting.Supports one or more product managers with requirements analysis, data analysis and use case…",PostedJust posted,missing,Austin, TX
46,Lead Supply Chain Planning Analyst,AT&T,"Dallas, TX+1 location",missing,"Experience: 8+ years of relevant experience in the areas of supply chain management, data science/analytics.Conducts data-driven analysis to support inventory,…",PostedJust posted,3.7,Dallas, TX+1 location
47,Business Analyst,AMR,"Arlington, TX 76018 (Southeast area)+1 location",missing,"Reading, writing, data entry, and other clerical work.Minimum 2 years of Data Analysis & Project Management experience (3-4 years preferred).",PostedJust posted,3.3,Arlington, TX 76018 (Southeast area)+1 location
48,"Lead Analytics Consultant, Employee Segment for Diverse Segm...",WELLS FARGO BANK,"San Antonio, TX+19 locations",missing,"Proactively manage data gaps/accuracy, while ensuring the integrity of analysis through rigorous attention to detail and validation in data.",PostedJust posted,3.7,San Antonio, TX+19 locations
49,Data Analyst,ST genetics,"Navasota, TX",missing,"The Accounting Data Analyst is responsible for supporting various corporate accounting functions for a multi-site, international bovine genetics technology…",PostedToday,2.3,Navasota, TX
50,Data Processing Analyst I,"Arrow Electronics, Inc.","Remote in Plano, TX 75093",missing,"Identifies and resolves key issues and patterns from partial/conflicting data.Involved during the different data development stages, including but not limited…",PostedToday,3.5,Remote in Plano, TX 75093
51,Business Analyst,"Yoh, A Day & Zimmermann Company","Addison, TX+1 location",missing,Work with the QA team to prepare test scenarios and data.Analyze system and business data to align with project requirements and functional documentation…,PostedToday,3.7,Addison, TX+1 location
52,Data Analyst,Greenbrier Leasing Company LLC,"Dallas, TX 75261",missing,Process customer supplied railcar fleet data files of varying formats.Communicate data exceptions to external customers and track until resolved.,PostedToday,missing,Dallas, TX 75261
53,Procurement Analyst,BOEING,"Dallas, TX",missing,"Skill and ability to: collect, organize, synthesize, and analyze data; summarize findings; develop conclusions and recommendations from appropriate data sources…",PostedToday,3.9,Dallas, TX
54,"JPM Payments-Merchant Services-Data Solutions, Product Analy...","JPMorgan Chase Bank, N.A.","Plano, TX+1 location",missing,"Proficiency in data and analytics platforms, data base administration and data warehouse design and associated technologies (e.g., APIs).",PostedToday,3.8,Plano, TX+1 location
55,Salesforce Analyst,BrandSafway,"Dallas, TX",missing,Must have at least 1-3 years’ experience in a business analyst or similar type role.Must have high analytical skills/data analysis.,PostedToday,3.4,Dallas, TX
56,Operations Performance Analyst,Conifer Health Solutions,"Frisco, TX+1 location",missing,"Audit and analyze data to verify quality and data integrity.Integrate and analyze data from multiple data sources, determine root cause; summarize and prepare…",PostedToday,3.7,Frisco, TX+1 location
57,Category Management Data Analyst,"Michaels Stores Procurement Company, Inc.","Irving, TX 75063 (Freeport/Hackberry area)",missing,The Data Analyst will develop and maintain databases and acquire data from multiple data sources.Experience with data visualization tools (Tableau preferred).,PostedToday,missing,Irving, TX 75063 (Freeport/Hackberry area)
58,Business Analyst,Confie,"Addison, TX 75001",missing,Observational skills - the ability to confirm data obtained via other techniques and expose new areas for elicitation.Proven experience with Change Management.,PostedToday,2.5,Addison, TX 75001
59,Analyst Business Intelligence - ROC,Pacific Dental Services,"Irving, TX 75063 (Cottonwood area)",missing,Business processes populate the data fields and which reflect the original source of data.Excellent understanding of data analysis and reporting best practices…,PostedToday,2.9,Irving, TX 75063 (Cottonwood area)
60,Data Processing Analyst I,"Arrow Electronics, Inc.","Remote in Bellevue, WA 98007",missing,"Identifies and resolves key issues and patterns from partial/conflicting data.Involved during the different data development stages, including but not limited…",PostedToday,3.5,Remote in Bellevue, WA 98007
61,"Business Analyst, Amazon Prime",Amazon.com Services LLC,"Seattle, WA+60 locations",missing,"5+ years of experience in a business analyst/data analyst/statistical analyst role.We are seeking a talented business analyst to support the ideation,…",PostedToday,3.5,Seattle, WA+60 locations
62,Manufacturing Operations Support & Logistics Staff Analyst 3,BOEING,"Everett, WA",missing,"5 or more years’ of experience collecting data from multiple sources, performing analysis and presenting data.Find your future with us.",PostedToday,3.9,Everett, WA
63,Business Analyst,Pinkerton,"Seattle, WA",missing,"Attentive to detail and accuracy.We are as invested in your career as you are.As you navigate through these uncertain times, know that Pinkerton has been a…",PostedToday,3.7,Seattle, WA
64,Data Profiling Analyst,MultiCare Health System,"Tacoma, WA+1 location",missing,Validation of data in data repositories against data from source systems and validation of metrics and data in reports/dashboards against data in the…,PostedToday,3.6,Tacoma, WA+1 location
65,Staff Data Analyst - Site Reliability Engineering,ServiceNow,"Kirkland, WA 98033 (Lake View area)",missing,Driven to use data to improve business processes and outcomes.Strong written and verbal communication skills with emphasis on presenting complex data in an…,PostedToday,3.6,Kirkland, WA 98033 (Lake View area)
66,Data Analyst,Frontdoor,"Olympia, WA 98507 (Indian Creek area)",missing,"3 years overall data analysis experience with proven experience in SQL, R, PowerBI, Looker or other data management/visualization tools.",PostedToday,2.5,Olympia, WA 98507 (Indian Creek area)
67,"Policy Analyst (StratAdv1,Ex) - Job 2022-00882",City of Seattle,"Seattle, WA",missing,Experience in evaluation of data and public policies.Have rigorous analytical skills and rely heavily on data to drive the analysis of public policy.,PostedToday,3.8,Seattle, WA
68,Business Analyst Consultant,Sia Partners,"Bellevue, WA 98005 (Eastgate area)",missing,Experience presenting data-driven analyses based on business benefits to solve highly complex business and technical problems.Why join the Sia Village?,PostedToday,3.5,Bellevue, WA 98005 (Eastgate area)
69,Business Analyst V (Accounting) : 22-01289,Akraya Inc.,"Remote in Seattle, WA 98104+2 locations",missing,"Primary Skills: Accounting, Transfer Pricing, SQL, Spreadsheet Modeling.Duration :9 Months (with possible conversation for CTH).",PostedToday,3.6,Remote in Seattle, WA 98104+2 locations
70,Sr Business Analyst,Puget Sound Energy,"Bellevue, WA 98004 (Downtown area)",missing,5 years work experience as an analyst.Puget Sound Energy is looking to grow our community with top talented individuals like you!Some travel may be required.,PostedToday,3.7,Bellevue, WA 98004 (Downtown area)
71,IAM EPIC SECURITY ANALYST 2,University of Washington,"Remote in Seattle, WA 98195+1 location",missing,Work with all Epic analysts on critical master file data migration; act as the critical master file data migration gate keeper to ensure the changes are made…,PostedToday,4.1,Remote in Seattle, WA 98195+1 location
72,Procurement Data Analyst,Infosys BPM Limited,"Redmond, WA",missing,Experience consolidating data from multiple sources to create a data repository that can be leveraged for Leadership reporting and analytics.,PostedToday,3.9,Redmond, WA
73,"Data Analyst, Entry Level ( Starting with Bootcamp).",PCS Global Tech,"Seattle, WA",missing,"Acquire data from primary or secondary data sources and maintain databases/data systems.Technical expertise regarding data models, database design development,…",PostedToday,missing,Seattle, WA
74,Junior Supply Chain Data Analyst,evo,"Seattle, WA 98103 (Wallingford area)",missing,Experience working with sensitive data.Ensure data quality and perform data cleansing as needed to support supply chain operations and accurate reporting.,PostedToday,3.0,Seattle, WA 98103 (Wallingford area)
75,"Manager, Data Scientist",KPMG,"McLean, VA 22102+4 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,McLean, VA 22102+4 locations
76,"Data Engineer, Consultant - Analytics & Cognitive",Deloitte,"McLean, VA+9 locations",missing,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",PostedToday,4.0,McLean, VA+9 locations
77,Data Pipeline Development Lead,Deloitte,"McLean, VA+2 locations",missing,"Build tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance…",PostedToday,4.0,McLean, VA+2 locations
78,Data Scientist I,Navy Federal Credit Union,"Vienna, VA 22180+1 location",missing,"Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.",PostedToday,3.9,Vienna, VA 22180+1 location
79,Senior Data Scientist,Piper Companies,"McLean, VA 22102",missing,"Ability to manage multiple projects simultaneously and implement rapid changes in project direction.Development, monitoring and maintenance of custom risk…",PostedToday,4.5,McLean, VA 22102
80,Data Scientist,Praxis Engineering,"Tysons Corner, VA 22102",missing,"Demonstrate database technologies, including Elasticsearch and SQL databases Demonstrate data pipelines and workflow technologies, such as Apache NiFi…",PostedToday,4.8,Tysons Corner, VA 22102
81,"Manager, Data Science - Anti Money Laundering",Capital One - US,"McLean, VA+1 location",missing,Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…,PostedToday,3.9,McLean, VA+1 location
82,Machine Learning Operations (MLOps) Engineer,Stori Card - US,"Remote in Arlington, VA",missing,Develop tooling for data scientists to facilitate ML tasks from data exploration to model monitoring.Work closely with data scientists and data engineers to…,PostedToday,missing,Remote in Arlington, VA
83,Senior Data Analyst,Melkotech,"Reston, VA",missing,"Evaluate project load to ensure proper staffing on overall project and provide resource allocation support.Prior experience in data conversion, data migration,…",PostedToday,missing,Reston, VA
84,Data Quality Lead (Remote),Collins Aerospace,Remote in Virginia,missing,"As a subject matter expert, the person in this role will serve as a lead for our Data Quality (DQ) pillar of our four-pillars strategy {Metadata Management,…",PostedToday,3.6,Remote in Virginia,
85,Senior Data Analyst,Crystal Management,"Reston, VA 20191",missing,Evaluate project load to ensure proper staffing on overall project and provide resource allocation support.Strategic input into solution design focused on data…,PostedToday,2.7,Reston, VA 20191
86,Cloud Data Scientist - REMOTE,General Dynamics Information Technology,"Remote in Falls Church, VA 22042+4 locations",missing,"You will be required to implement approaches for analyzing the cost information including visualization, queries, graph analytics and other data analysis…",Posted1 day ago,3.8,Remote in Falls Church, VA 22042+4 locations
87,Data Scientist III,Peraton,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)+8 locations",missing,"Experience with machine learning, algorithm analysis, and data clustering.Exercises creativity in applying non-traditional approaches to large-scale analysis…",Posted1 day ago,3.2,Arlington, VA 22209 (Radnor-Ft Myer Heights area)+8 locations
88,Data Scientist,Thomson Reuters,"McLean, VA 22102",missing,"Do you have the skills necessary to manage, understand, and analyze in-house and customer data including text mining, developing predictive systems, risk…",Posted1 day ago,3.9,McLean, VA 22102
89,Senior Data Scientist - International,Indeed,United States,missing,"Work across a wide range of related areas: data extraction and cleansing, feature engineering, machine learning, exploratory analysis, data quality analysis,…",Posted1 day ago,4.3,United States,
90,Sr Data Analyst,Disney Streaming,"New York, NY+1 location",missing,"Partnership: Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around…",PostedJust posted,missing,New York, NY+1 location
91,Data Scientist,GeoComply,"Manhattan, NY 10001 (Chelsea area)",missing,Design and perform data analysis on live production data for detection of data anomalies using ML models;Good experience in variable transformation and data…,PostedJust posted,missing,Manhattan, NY 10001 (Chelsea area)
92,Data Scientist,Comcentric,"Remote in Albany, NY+1 location",missing,"Mentor and grow other software engineers, data scientists, and ML engineers across teams.Have the desire to solve difficult problems at the intersection of…",PostedJust posted,4.2,Remote in Albany, NY+1 location
93,"Manager, Data Scientist",KPMG,"New York, NY+6 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,New York, NY+6 locations
94,Sr Data Analyst,Disney Media & Entertainment Distribution,"New York, NY+1 location",missing,"Partnership: Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around…",PostedJust posted,missing,New York, NY+1 location
95,Senior Data and AI Architect,PRICE WATERHOUSE COOPERS,"New York, NY",missing,"Working experience with data modeling, machine learning, Azure Databricks, Data Factory, Data Explorer, and Data Lake;",PostedJust posted,4.0,New York, NY
96,Data Scientist,Memorial Sloan Kettering Cancer Center,"Hybrid remote in New York, NY 10017",missing,"Train, compare and manage machine learning models.Find correlations and dependencies between desired outcome data and various available data sources.",PostedToday,4.1,Hybrid remote in New York, NY 10017
97,Data Scientist,Murmuration,"New York, NY 10005 (Financial District area)+2 locations",missing,"Strong basic data science skills (data cleaning, munging, data analysis, and data visualization);Provide analytic insights and deliver data science products…",PostedToday,missing,New York, NY 10005 (Financial District area)+2 locations
98,Vice President Applied Machine Learning & Data Science,SiriusXM,"New York, NY 10017 (Midtown area)+3 locations",missing,"Lead and grow a team engineers (machine learning, software and data) as well as data scientists.Build systems and platforms that enable scaling of machine…",PostedToday,3.5,New York, NY 10017 (Midtown area)+3 locations
99,Data Pipeline Development Lead,Deloitte,"New York, NY+2 locations",missing,"Build tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance…",PostedToday,4.0,New York, NY+2 locations
100,"Data Scientist, Payment Acceptance APIs",Square,"New York, NY",missing,"As a Data Scientist on the Square Payments machine learning and data science team, you will leverage analytics, engineering, and machine learning to empower…",PostedToday,3.6,New York, NY
101,"Applied Machine Learning Scientist, PubOps",Penguin Random House LLC,"New York, NY 10019 (Midtown area)",missing,"Design and build ML models for Ad targeting products and Recommender system at scale, and review models and code of other scientists.",PostedToday,3.9,New York, NY 10019 (Midtown area)
102,STATISTICIAN,United Nations,"New York, NY+1 location",missing,"Organizes, designs, plans and carries out the collection, evaluation, analysis, compilation and dissemination of statistical data on demographic phenomena by…",PostedToday,4.4,New York, NY+1 location
103,Data Consultant - Data Governance Implementation Manager,IBM,"Buffalo, NY 14201 (Lakeview area)",missing,"You`ll demonstrate hands-on expertise in creating data governance solutions for clients, creating best of breed end-to-end solutions leveraging Cloud and…",PostedToday,3.9,Buffalo, NY 14201 (Lakeview area)
104,Qualitative Model Review-Vice President,"JPMorgan Chase Bank, N.A.","Brooklyn, NY",missing,JPMorgan Chase will consider accommodation requests as required by applicable law.Model Risk Governance & Review (MRGR) is a Corporate Risk team within JPMC…,PostedToday,3.8,Brooklyn, NY
105,"Research Scientist, Deep Learning L001",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+8 locations",missing,Apply automated machine learning algorithms to improve existing machine models in different systems including but not limited to computer vision tasks on mobile…,PostedJust posted,3.3,Mountain View, CA 94041 (Old Mountain View area)+8 locations
106,Senior Data Scientist - Product Analytics - Global E-Commerc...,TikTok,"Mountain View, CA 94041 (Old Mountain View area)+80 locations",missing,"As a member of the data science and product analytics team, you will work with diverse and highly collaborative teams of product managers, engineers, and other…",PostedJust posted,3.3,Mountain View, CA 94041 (Old Mountain View area)+80 locations
107,Senior Data Scientist - Platforms,Johnson & Johnson,"La Jolla, CA+9 locations",missing,Candidates must have demonstrated the ability to work with product development data engineers to deploy data pipelines; with vendors to install 3rd party…,PostedJust posted,4.2,La Jolla, CA+9 locations
108,"Manager, Data Scientist",KPMG,"Irvine, CA 92618+20 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Irvine, CA 92618+20 locations
109,Data Science Team Lead (Text Extraction),SKAEL,"San Francisco, CA 94105 (Financial District area)+5 locations",missing,Lead a team of data scientists developing machine learning models and tools for SKAEL platforms.The group works on programs in multiple areas such as…,PostedJust posted,missing,San Francisco, CA 94105 (Financial District area)+5 locations
110,Data Scientist,Comcentric,Remote in California+7 locations,missing,"Partner closely with data scientists, product scientists, software engineers, product teams, security, privacy, legal, and other stakeholders to define and…",PostedJust posted,4.2,Remote in California+7 locations,
111,Machine Learning Engineer,General Atomics and Affiliated Companies,"Poway, CA+4 locations",missing,"In product/systems improvement projects, uses machine language and statistical modeling techniques to include but not limited to decision trees, logistic…",PostedJust posted,3.7,Poway, CA+4 locations
112,"Performance and Capacity Engineer, AI",Meta,"Menlo Park, CA 94025",missing,"Develop novel techniques to surface deep insights, centered around performance and utilization efficiency, to the partners in the product groups.",PostedJust posted,4.1,Menlo Park, CA 94025
113,Senior Data Scientist,Hypersonix Inc.,"Remote in San Jose, CA 95131+3 locations",missing,"You will work with fellow data scientists and mentor junior team members.Solid understanding of probability, statistics, optimization, machine learning.",PostedToday,missing,Remote in San Jose, CA 95131+3 locations
114,Applied Scientist,Amazon.com Services LLC,"East Palo Alto, CA+69 locations",missing,"Comprehensive and deep knowledge of a relevant field of research, such as ML and NLP.2+ years of experience of building machine learning models for business…",PostedToday,3.5,East Palo Alto, CA+69 locations
115,"Data Scientist, Senior Advisor [HYBRID]",Southern California Edison,"Rosemead, CA 91771+2 locations",missing,Identify appropriate machine learning or data mining algorithms to solve various electric utility problems.Keep abreast of new and current data science / big…,PostedToday,3.9,Rosemead, CA 91771+2 locations
116,"Data Scientist, WMC",Walmart,"Sunnyvale, CA 94086 (West Murphy area)+20 locations",missing,"Identifies what methods (for example, analytics, big data analytics, automation) would provide a solution for the problem.Maintains awareness of data quality.",PostedToday,3.5,Sunnyvale, CA 94086 (West Murphy area)+20 locations
117,WePay - Data Scientist Associate Senior,"JPMorgan Chase Bank, N.A.","Redwood City, CA+2 locations",missing,"Excellent communication and presentation skills, and proven ability to translate data into actionable insights.",PostedToday,3.8,Redwood City, CA+2 locations
118,Senior Data Analyst,LifeLong Medical Care,"Berkeley, CA 94710",missing,Arranges project requirements in programming sequence by analyzing requirements; preparing a work flow chart and diagram using knowledge of computer…,PostedToday,3.3,Berkeley, CA 94710
119,"Applied Scientist, Prime Air (Computer Vision and Signal Pro...",Amazon.com Services LLC,California+6 locations,missing,"Experience applying machine learning to practical problems.We're looking for an outstanding applied scientist who combines superb technical, research and…",PostedToday,3.5,California+6 locations,
120,Lead Data Scientist - AI / Machine Learning (Remote),USAA,"Remote in San Antonio, TX",missing,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…",PostedJust posted,3.9,Remote in San Antonio, TX
