DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
251646,1111 25TH ST NW,ATLAS CONDOMINIUM,2,2012,Atlas Condominium,1111 25th Street N.W,20037,Multifamily Housing,2004,"237,911",3.9,11.7,0.00,130.39,268280,143
251782,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2012,The Columbia Residences,2425 L Street NW,20037,Multifamily Housing,2006,"549,021",Not Available,Not Available,0.00,0.00,,
280000,950 24TH STREET NW,COMMERCIAL CONDOS,2,2012,City Hall,"950 24th St, NW",20052,College/University,1989,"157,672",72.4,177.9,54.00,1300.99,2300602.2,35603.2
310837,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2012,Potomac Plaza,"2475 Virginia Avenue, N.W.",20037,Multifamily Housing,1957,"316,550",68.9,130.3,0.00,1910.78,2486205,133369.1
330087,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2012,Columbia Plaza All Bldgs,2400 Virginia Ave NW,20037,Multifamily Housing,1968,"988,819",77.2,144.9,0.00,6765.47,8958960.1,458040.5
360048,2300 N ST NW,TR 2300 N STREET CORP,2,2012,2300 N Street,2300 N Street,20037,Office,1986,"304,484",105,335.2,36.00,4047.30,9366857,
360859,1201 24TH ST,HYATT EQUITIES LLC,2,2012,Park Hyatt Washington,1201 24th Street NW,20037,Hotel,1986,"361,400",82.9,Not Available,26.00,3361.60,7058130,58765.777
370853,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2012,2300-2330 M ST,2300-2330 M ST NW,20037,Office,1984,"161,222",56.5,182.6,77.00,1289.91,2669681.3,
400036,900 23RD ST,GEORGE WASHINGTON,2,2012,George Washington University Hospital,"900 23rd St, NW",20037,Office,2002,"465,000",320.2,693.2,32.00,13660.50,22945530,705856.095
410040,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,Ross Hall,"2300 I St, NW",20052,College/University,1973,"420,653",624.3,862.6,0.00,18660.20,15457472.3,2085162.5
420055,2301 G ST,GEORGE WASHINGTON UNIVERSITY,2,2012,Health and Wellness Center,"2301 G St, NW",20052,Office,2001,"167,964",71.8,178.1,0.00,1415.20,2564755.4,33081.1
430026,616 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,2012,Ivory Tower,"616 23rd St, NW",20052,College/University,2004,"283,531",86.9,202.9,33.00,0.00,4687958.4,83124.4
500085,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,2,2012,Embassy Suites Hotels,1250 22nd street NW,20037,Hotel,1987,"306,123",28.6,30,100.00,466.18,,87628.6
500086,1255 23RD ST,CAPITOL 50 ASSOCIATES,2,2012,Floyd Akers Building (DDOE),1255 23rd Street NW,20037,Office,1983,"353,382",54,187.6,89.00,2704.28,5596965.1,
00510079*,,,2,2012,73R52-Washington DC Ritz Carlton,1150 22nd Street Nw,20037,Hotel,1990,"269,000",302.3,683,1.00,8261.74,13047145,368002
540841,2200 PENNSYLVANIA AV,GEORGE WASHINGTON UNIVERSITY,2,2012,2200 Pennsylvania Avenue,2200 Pennsylvania Avenue,20052,Office,2011,"541,360",40.9,138.4,91.00,3138.26,6495159.3,
560030,2201 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,"Funger, Duques, & Tompkins Halls","2201 G St and 725 23rd St, NW",20052,College/University,1970,"344,663",96.5,255.2,0.00,4047.28,7551514.3,74930.5
670059,2100 MASSACHUSETTS AV,NOIRO SOUTH LLC,2,2012,Fairfax at Embassy Row,2100 Massachusetts Ave NW,20008,Hotel,1927,"217,504",115.7,245,38.00,2291.20,3809210,121593.756
680088,1421 21ST ST NW,2130 P STREET ASSOCIATES,2,2012,WestPark Apartments,2130 P Street NW,20006,Multifamily Housing,1975,"184,255",64.7,133.5,0.00,1143.55,1689513.2,61509.7
700195,1200 NEW HAMPSHIRE AV NW,N H STREET PARTNERS HOLDINGS LLC,2,2012,1200 New Hampshire,1200 New Hampshire Avenue,20036,Office,1979,"386,378",61.2,210.3,67.00,3348.08,6929414.3,
00700881*,,,2,2012,33770-Washington West END Marriott,1221 22nd St Nw,20037,Hotel,1981,"304,053",108.5,305.7,21.00,3801.56,6784186,98432
713159,1177 22ND ST NW,22 WEST CONDO,2,2012,22 West A Condominium,"1177 22nd St, NW",20037,Multifamily Housing,2008,"225,414",76.1,171.3,0.00,1742.58,2752920,77529.8
720074,1143 NEW HAMPSHIRE AV NW,WASHINGTON VALUE ADDED I LLC,2,2012,9673w-M Street Hotel,1143 New Hampshire Ave.,20037,Hotel,1964,"198,000",106.4,250.9,42.00,2298.64,3903056,77595
720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2012,2100 M Street,"2100 M Street, NW, Suite 620",20037,Office,1969,"325,821",53.7,184.7,86.00,2476.02,5124544.4,
720075,2106 M ST NW,HINES VAF 11 2100 M STREET LP,2,2012,2100 M Street II,2100 M Street,20037,Office,1969,"325,821",80.4,268.3,84.00,3673.75,7557909.3,4136.3
720076,2101 L ST NW,CESC 2101 L STREET LLC,2,2012,2101 L St NW,2101 L St NW,20037,Office,1975,"381,518",74.2,236,77.00,3584.40,8295466,
730084,2121 - 2115 K ST NW,2121 K LLC,2,2012,2121 K Street,2121 K Street NW,20037,Office,1981,"191,331",58.7,184.2,76.00,1421.20,3289102,
"00750861, 00750863",2100 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2012,2100 Pennsylvania Avenue,2100 Pennsylvania Avenue,20037,Office,1966,"322,250",101.3,276.8,71.00,3606.20,7467385,71520.483
760085,2000 L ST NW,TRIZECHAHN LLC - 2000 L STREET,2,2012,2000L,2000L St N.W,20036,Office,1968,"427,334",72.1,216.2,78.00,3808.94,7175127.5,60535.4
760091,2001 K ST NW,2001 K STREET LLC,2,2012,2001 K St,2001 K St NW,20006,Office,1998,"277,620",84.7,282.9,61.00,3329.34,6890636,
770059,0801 22ND ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,Academic Center,"801 22nd St, NW",20052,College/University,1982,"249,606",126.4,323.3,0.00,3645.20,6521687.6,92880.3
770060,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,Marvin Center,"800 21st St, NW",20052,College/University,1970,"325,060",139.3,308.4,0.00,4634.37,7376323.9,200588.6
780039,2000 K ST NW,2000 K STREET LLC,2,2012,2000 K St,"2000 K Street, NW",20006,Office,1986,"155,823",82.1,274.2,61.00,1811.39,3748980.5,
780847,2020 K ST NW,2020 K CORPORATION,2,2012,2020 K Street,2020 K Street N.W.,20006,Office,1976,"419,991",72.7,249.6,73.00,4600.99,8949171.6,
790064,2130 H ST,GEORGE WASHINGTON UNIVERSITY,2,2012,Gelman Library,2130 H St.,20052,Office,1973,"244,288",77.4,238.6,0.00,2676.81,5540111.7,
790065,0714 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,"Lisner Auditorium, Monroe Hall, & 714 21st St","714-720 20th St and 2115 G St, NW",20052,College/University,1973,"150,372",60.3,195,0.00,1246.83,2533874.3,4236.3
800056,2135 F ST,GEORGE WASHINGTON UNIVERSITY,2,2012,Residence Hall at Square 80,"2135 F St, NW",20052,College/University,2009,"214,829",86.6,203.4,56.00,1958.61,3211981.4,76443.1
850060,1909 K ST NW,NINA JO ASSOCIATES LLC,2,2012,The Millennium Building,1909 K Street,20006,Office,1999,"242,937",59.8,217.4,88.00,2056.21,4255688,
850844,1999 K ST,DEKA USA K STREET LP,2,2012,1999 K Street NW,1999 K Street NW,20006,Office,2009,"286,711",62.6,192,74.00,2252.70,5179392,2780.541
860042,1990 K ST NW,CONSORTIUM TWO 1990 K ST LLC,2,2012,1990 K Street,1990 K Street,20006,Office,1977,"269,000",67.1,231.7,72.00,2554.27,5285099,
860844,1900 K ST NW,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2,2012,1900 K Street Benchmark,1900 K Street NW,20006,Office,1996,"385,061",Not Available,Not Available,0.00,0.00,,
880058,2101 CONSTITUTION AV NW,NATIONAL ACADEMY OF SCIENCES,2,2012,NAS Bldg,2101 Constitution Ave NW,22048,Office,1924,"173,970",1.3,Not Available,100.00,37.60,67800,
940031,2015 MASSACHUSETTS AV NW,AREP EMBASSY ROW LLC,2,2012,2015 Massachusetts Avenue NW,2015 Massachusetts Avenue NW,20036,Hotel,1900,"283,072",34.9,102.2,91.00,1242.39,2377644,17592
960814,1400 20TH ST NW,BRISTOL ASSOCIATES,2,2012,Bristol House,1400 20th Street NW,20036,Multifamily Housing,1963,"158,375",Not Available,Not Available,0.00,0.00,,
971051,1330 NEW HAMPSHIRE AVE NW,THE APOLLINE CONDOMINIUM,2,2012,Apolline,1330 New Hampshire Avenue NW,20036,Multifamily Housing,1962,"175,321",34.4,114.8,0.00,853.10,1765630.8,
990049,2000 N ST NW,ASN DUPONT CIRCLE LLC,2,2012,The Flats of Dupont Circle,2000 N St NW,20036,Multifamily Housing,1967,"423,631",39.4,99.3,0.00,1912.24,3393500.3,51241.9
990050,2025 M ST NW,2025 M STREET ASSOCIATES LLC,2,2012,2025 M Street (DDOE),"2025 M Street, NW",20036,Office,1971,"211,860",83.6,288.8,70.00,2508.86,5192522.2,
990053,2001 M ST NW,POST OFFICE BOX ASSOCIATES LLC,2,2012,2001 M Street,2001M St. N.W.,20036,Office,1986,"246,096",24.4,88.9,0.00,850.92,1761114.6,
990835,1255 NEW HAMPSHIRE AV NW,GBSK LLC,2,2012,Hamilton House,1255 New Hampshire Ave NW,20036,Multifamily Housing,1966,"187,468",75.4,154.4,0.00,1222.70,1882156,77139.452
1000116,1120 20TH ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,2012,Lafayette Center One,"1120 20th Street, NW",20036,Office,1983,"377,654",57.3,183,91.00,3061.81,6336930.7,
1000118,1155 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,2012,Lafayette Center Three,1155 21st Street NW,20036,Office,1986,"345,109",81.5,259.5,62.00,3984.64,8246892.2,
1000119,1133 21ST ST NW,LAFAYETTE CENTRE PROPERTY LLC,2,2012,Lafayette Center Two,"1133 21st Street, NW",20036,Office,1984,"155,808",69.9,247.9,81.00,1542.87,3193227.6,
1000897,2000 M ST NW,CASTLE FAMILY LP,2,2012,2000 M Street,2000 M Street NW,20036,Office,1971,"318,867",52.9,162.9,98.00,2255.41,4503789.7,14909
1010058,2000 - 2040 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2012,2000 Pennsylvania Avenue,2000 Pennsylvania Avenue,20006,Office,1982,"410,990",Not Available,Not Available,0.00,0.00,,
0102-0046*,,,2,2012,Burns Law Library & Stockton & Lerner Halls,"716-720 20th St, NW",20052,Office,1924,"180,283",22.4,23.5,,215.15,,40441.4
1040835,2020 F ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,2,2012,2020 F Street NW,2020 F Street NW,20006,Multifamily Housing,1900,"260,159",77.1,127.6,0.00,1520.29,1501765,149376.5
1050843,1899 PENNSYLVANIA AV,1899 PENN OWNER LP,2,2012,1899 Pennsylvania Avenue,1899 Pennsylvania ave. N.W.,20006,Office,1915,"205,741",62.7,195,80.00,1785.04,3644291.2,4555.9
1050844,1815-1821 PENNSYLVANIA AV,CTTWB ASSOCIATES LP,2,2012,CTTWB,1875 Pennsylvania Avenue,20006,Office,2005,"354,331",48.3,156.4,89.00,2425.45,5019890.8,
1050845,1801 PENNSYLVANIA AV,1801 PA AVE LLC,2,2012,1801 Pennsylvania Ave.,1801 Pennsylvania Ave.,20006,Office,1991,"214,997",81.6,255.1,59.00,2213.00,5105464,1319.083
1060048,1800 K ST NW,"RAR2-1800 K ST NW -DC,INC",2,2012,1800 K Street,"1800 K Street, NW",20006,Office,1969,"224,865",60.9,203.3,75.00,1938.45,4011949.4,
1060049,1835 I ST NW,CARR CRHP PROPERTIES LLC,2,2012,International Square,"1875 Eye Street, NW",20006,Office,1978,"1,177,174",52.3,175.7,88.00,8719.49,18046477.2,
1070062,1825 K ST NW,CALVIN CAFRITZ ENTERPRISES,2,2012,1825 K Street,1825 K Street NW,20006,Office,1966,"254,527",Not Available,Not Available,0.00,0.00,,
1070075,1801 K ST,BLENHEIM DC LLC,2,2012,Blenheim DC I LLC,"1801 K Street, NW",20006,Office,1971,"610,841",45.8,163.3,89.00,3963.83,8203818,
1070077,1845 K ST,333 MARKET EXCHANGE TWO LLC AND 123 MA EXCHANGE ONE LLC,2,2012,1875 K,"1875 K Street, NW",20006,Office,2002,"206,240",62.7,209.3,79.00,1830.00,3787500.1,
1150085,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,2,2012,1333 New Hampshire Ave.,"1333 New Hampshire Ave., NW",20036,Office,1978,"325,215",Not Available,Not Available,0.00,0.00,,
1160073,1919 M ST NW,1919 M STREET ASSOCIATES,2,2012,1919 M Street,"1919 M Street, NW",20036,Office,1967,"297,397",86.5,271.4,51.00,3255.60,7532389,
1160077,1200 19TH ST,HINES 1200 NINETEENTH STREET LLC,2,2012,Hines 1200 Nineteenth Street Benchmarking,1200 19th St. NW,20036,Office,1964,"338,991",Not Available,Not Available,0.00,0.00,,
1170075,1129 20TH ST,REPUBLIC 20TH STREET LLC,2,2012,*50024 - 1129 20th Street NW,1129 20th Street NW,20036,Office,2009,"182,221",59.6,198.3,82.00,1532.48,3164219.2,681.8
1220029,1957 E ST,GEORGE WASHINGTON UNIVERSITY,2,2012,Elliott School,"1957-1959 E St, NW",20052,Office,2002,"254,162",87.1,211.8,0.00,0.00,4527977.3,59953.6
"01220824, 01220825",0514 19TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,2012,Thurston & Mitchell Halls,"519 19th St & 1900 F St, NW",20052,College/University,1929,"317,213",61.5,135.5,76.00,1923.31,2931757,95020.9
1260057,1776 K ST NW,RIDDELL PROPERTIES INC,2,2012,1776 K Street NW,1776 K Street NW,22202,Office,1969,"213,067",64.1,166.6,81.00,1687.00,3069379,
1260058,1750 K ST NW,1750 K STREET LLC,2,2012,1750 K Street,1750 K Street,20006,Office,1975,"180,086",63.8,200.3,70.00,1455.00,3367307,
1260060,1775 I ST NW,L&B 1775 I STREET INC,2,2012,"L&B 1775 Eye Street, LLC","1775 Eye Street, NW",20006,Office,1969,"206,356",65.4,202,78.00,1700.50,3919571,1295.97
1260061,1727 I ST NW,FARRAGUT CENTER LLC,2,2012,Farragut Center,"1725 Eye Street, NW",200062407,Office,2001,"264,000",Not Available,Not Available,0.00,0.00,,
1260062,1700-1730 K ST,COMMERCE BUILDING ASSOC & 1730 K ST ASSOC LLC,2,2012,1700 K St NW,1700 K St NW,20052,Office,2005,"417,524",69.2,207.1,78.00,3508.60,7872771,20151.559
1260852,0900 17TH ST NW,GNAREI 1 FARRAGUT LLC,2,2012,The Farragut Building,900 17th Street NW,20006,Office,1961,"160,109",45,123.5,95.00,807.00,1692012,14295.584
1270843,1717 H ST NW,MARVIN M ROBERTSON TRUSTEE,2,2012,1717 H St. NW,1717 H St. NW,20006,Office,1990,"310,444",72.1,233.5,76.00,3171.75,6564478.1,
1360035,0011 DUPONT CIR NW,SC DUPONT FEE INC,2,2012,"SC DuPont Leasehold, Inc.","11 Dupont Circle, NW",20036,Office,1973,"160,961",59.4,201.8,77.00,1354.62,2803620.7,
1370056,1800 - 1824 MASSACHUSETTS AV NW,1800 MASSACHUSETTS AVENUE CORP,2,2012,1800 Massachusetts Avenue NW (SEIU),"1800 Massachusetts Avenue, NW",20036,Office,1979,"213,592",59.9,191.9,85.00,1764.94,3596178.4,5146.5
"01380013, 01380803",1330 CONNECTICUT AV NW,1330 CONNECTICUT AVENUE LLC,2,2012,1350 Connecticut Avenue NW,1350 Connecticut Avenue NW,20036,Office,1900,"186,278",Not Available,Not Available,0.00,0.00,,
1380803,1330 CONNECTICUT AV NW,1330 CONNECTICUT AVENUE LLC,2,2012,"1330 Connecticut Ave., NW","1330 Connecticut Ave., NW",22204,Office,1984,"335,990",65.3,218.1,83.00,3280.77,6430929.2,
1390816,1250 CONNECTICUT AV NW,TRIZECHAHN LLC - 1250C/2401P,2,2012,1250 Conn Ave,1250 Connecticut Ave NW,20036,Office,1964,"195,087",Not Available,Not Available,0.00,0.00,,
1400089,1899 L ST NW,1899 L  STREET TOWER LLC,2,2012,1899 L Street,"1899 L St, NW",20036,Office,1978,"159,817",68.1,213.7,77.00,1377.60,3188172,
1400090,1111 19TH ST NW,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,2,2012,1111 19th St NW,1111 19th St NW,20036,Office,1979,"175,433",70.4,220.7,78.00,2336.80,5408133,
1400092,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2,2012,1850 M St.,"1850 M St., NW",20036,Office,1986,"259,948",59.9,202.8,87.00,2203.87,4561290.8,
1400093,1801 L ST NW,ELEVEN-EIGHTEEN LIMITED PARTNERSHIP,2,2012,1801 L St. N.W.,1801 L St. N.W.,20036,Office,1989,"222,847",80.9,270.2,71.00,2553.34,5284582.5,
1400094,1150 18TH ST NW,DMARC 2007 CD5 1150 OFFICE LLC,2,2012,01400094_1150 18th St NW,1150 18th St NW,20036,Office,1990,"171,733",68.6,232.3,65.00,1668.52,3453281.1,
1400095,1800 M ST NW,PRISA ACQUISITION LLC,2,2012,1800 M Street,"1800 M Street, NW",20036,Office,1975,"613,352",52.4,195.4,81.00,4549.31,9415582.4,
1400907,1137 - 1141 19TH ST NW,1137 19TH STREET ASSOCIATES,2,2012,Verizon - 1133 19th St,1133 19th St NW,20036,Office,2000,"247,716",83.4,278.6,50.00,2925.91,6055677.8,
1400913,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2,2012,"1145 19TH, WASHINGTON, DC,  Site #535047",1145 19TH ST NW,20036,Office,1990,"152,027",63.9,184.2,71.00,1140.30,2490070,12139.652
1420825,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2,2012,Northwestern Building,1800 G Street NW,20006,Office,1970,"706,812",61.2,185.7,87.00,5578.65,10864870,61858.7
1581058,1325 18TH STREET NW,THE PALLADIUM CONDOMINIUM,2,2012,The Palladium,1325 18th St NW,20036,Multifamily Housing,1975,"195,480",34.2,94.4,0.00,736.91,1262975.7,23811.2
1590087,1711 RHODE ISLAND AV,YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN WASHINGTON (YMCA),2,2012,1717 Rhode Island - 2021,"1717 Rhode Island Avenue, NW",20036,Office,2004,"244,623",53.8,168.9,80.00,1666.00,3855803,
1610030,1100 - 1106 CONNECTICUT AV NW,ELEVEN HUNDRED CONN AVE ASSOCIATES LLC,2,2012,Eleven Hundred Connecticut Avenue,"1100 Connecticut Avenue, NW",20036,Office,1965,"182,213",Not Available,Not Available,0.00,0.00,,
1610032,1134 - 1140 CONNECTICUT AV NW,WRIT 1140 CT LLC,2,2012,1140 Connecticut Ave for DDOE,"1140 Connecticut Ave, NW",20007,Office,1966,"217,549",68.2,184,85.00,1788.84,3313873.8,35278.2
1610037,1120 CONNECTICUT AV NW,JACK I BENDER & SONS,2,2012,Bender Building,1120 Connecticut Ave. NW,20036,Office,1962,"362,143",63.2,196.2,81.00,3074.41,6023227.9,4349.9
1610038,1150 CONNECTICUT AV NW,NORTHWESTERN DEVELOPMENT COMPANY B,2,2012,Connecticut Building,1150 Connecticut Ave. NW,20036,Office,1975,"214,025",67.3,177.2,86.00,1789.92,3172297,2812
1610039,1130 CONNECTICUT AV NW,PENZANCE 1130 PROPERTY OWNER LLC,2,2012,1130 Connecticut Avenue DDOE,1130 Connecticut Avenue,20036,Office,1986,"250,190",Not Available,Not Available,0.00,0.00,,
1620037,1730 M ST NW,GERALD D GROSNER,2,2012,1730 M ST,1730 M St,20002,Office,1964,"230,112",83,204.3,79.00,1919.40,3606867,68003.711
1620092,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2,2012,*02217 - 1100 17th Street NW,1100 17th Street NW,22209,Office,1963,"151,599",71.2,229.7,75.00,1371.44,2425854.2,25164.7
1620095,1150 17TH ST NW,1150 17TH STREET ASSOCIATES,2,2012,1150 17th Street,1150 17th Street N.W.,20036,Office,1970,"270,574",65,202.4,73.00,2210.90,5089357,2242.645
1620096,1101 CONNECTICUT AV,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),2,2012,1101 Connecticut Avenue DDOE,1101 Connecticut Avenue,20036,Office,1976,"202,878",80.9,261.6,0.00,2323.51,4808903.2,
1620099,1127 CONNECTICUT AV NW,WSRH WASHINGTON LLC,2,2012,9671n-Mayflower Renaissance,1127 Connecticut Ave Nw,20036,Hotel,1997,"628,696",92.5,205.7,57.00,5864.02,9187730,267818
1620101,1133 CONNECTICUT AV NW,CONNECTICUT / DESALES PARTNERSHIP,2,2012,1133 Conn Ave,1133 Connecticut Ave NW,20036,Office,1989,"191,425",59.6,199,0.00,1615.48,3343509.9,
1630051,1775 K ST NW,DOUGLAS H DORITY,2,2012,UFCW Building,"1775 K Street, NW",20006,Office,1970,"176,701",53.1,157.7,89.00,1133.40,2533026,7322.646
1640003,1001 CONNECTICUT AV NW,1001 CONNECTICUT AVENUE LLC,2,2012,1001 Connecticut Avenue,"1001 Connecticut Avenue, NW",20036,Office,1953,"154,319",Not Available,Not Available,0.00,0.00,,
1640035,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,2,2012,Blake Building,1025 Connecticut Ave. NW,20036,Office,1962,"348,428",69.9,213.7,87.00,2994.68,5632310,51377.7
0165-0026*,,,2,2012,801 Seventeenth Street NW,801 17th Street NW,200063912,Office,2010,"257,754",57.9,189.2,79.00,2114.19,4375669.3,
1660032,1701 PENNSYLVANIA AV NW,ATLANTIC FREEHOLDS,2,2012,0166-0032 1701 PENN,1701 Pennsylvania Avenue NW,20006,Office,1962,"218,478",85.3,244.1,67.00,2418.11,4729571,24985.9
1660033,1747 - 1755 PENNSYLVANIA AV NW,1747 PENNSYLVANIA AVENUE ASSOC LP,2,2012,1747 Pennsylvania Avenue,"1747 Pennsylvania Avenue, NW",20006,Office,1970,"169,807",77,250.1,0.00,1801.47,3666470.8,5629.5
1660038,1775 PENNSYLVANIA AV NW,RS WASHINGTON CORPORATION,2,2012,1775 Pennsylvania Avenue,"1775 Pennsylvania Avenue, NW",20006,Office,1976,"158,524",63.8,213.1,70.00,1432.11,2963993.6,
1660041,1717 PENNSYLVANIA AV NW,1717 PENNSYLVANIA AVENUE LLC,2,2012,1717 Pennsylvania Avenue,"1717 Pennsylvania Avenue, NW",20006,Office,1996,"200,449",94.2,314.6,49.00,2673.39,5533035,
1660863,1710 H ST,WASHINGTON H STREET ASSOCIATES LLC,2,2012,1710 H Street NW,1710 H Street NW,20006,Multifamily Housing,1900,"165,094",51.2,157.3,0.00,1167.36,2380245,3252
1680050,1700 PENNSYLVANIA AV NW,THE MILLS BUILDING ASSOCIATES LLC,2,2012,1700 Pennsylvania Avenue NW (Mills),1700 Pennsylvania Avenue NW,20006,Office,1966,"180,023",94.9,243,67.00,1942.14,3425459,53960
1680051,1730 PENNSYLVANIA AV NW,1730 PENN AVE LP,2,2012,1730 Pennsylvania Ave NW,1730 Pennsylvania Ave NW,20006,Office,1969,"259,838",76.8,262.4,74.00,2826.01,5848904.1,
1680823,1750 PENNSYLVANIA AV NW,CESC 1750 PENNSYLVANIA LLC,2,2012,1750 Pennsylvania Ave,1750 Pennsylvania Ave,20036,Office,1964,"297,201",72.6,187.6,76.00,2267.10,4472970,63002.81
1690070,1776 - 1742 G ST NW,WASHINGTON REAL ESTATE INVESTMENT TRUST,2,2012,1776 G Street,"1776 G Street, N.W.",20006,Office,1979,"292,396",61.1,204.2,0.00,2531.95,5240297.1,
1700039,1735 NEW YORK AV NW,THE AMERICAN INSTITUTE OF ARCHITECTS,2,2012,AIA Building,1735 New York Ave NW,20006,Office,1973,"151,523",98.5,202.9,68.00,1484.97,2291532.7,71010.2
1710033,1750 NEW YORK AV NW,UNITED UNIONS INC,2,2012,United Unions,"1750 New York Avenue, NW",20006,Office,1972,"184,573",87.3,246.5,65.00,4212.90,3942199,26589.751
1730809,1776 D ST NW,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,2,2012,DAR Building,"1776 D Street, NW",20006,Office,1903,"203,652",Not Available,Not Available,0.00,0.00,,23206.471
1820083,1608 RHODE ISLAND AV NW,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2,2012,The University of California Washington Center,1608 Rhode Island Ave. NW,20036,College/University,2001,"158,819",76.2,178.1,36.00,1186.70,2167697,47125.509
1820828,1615 M ST,17M ASSOCIATES & DISTRICT OF COLUMBIA,2,2012,Sumner Square,1615 M Street,20036,Office,1984,"226,761",66.9,217,83.00,2149.58,4448921.9,
