songtitle,artist/bandname,year,lyricsurls,lyrics
The First Train Headin' South,"Horton, Johnny",1959,https://www.azlyrics.com/lyrics/johnnyhorton/thefirsttrainheadinsouth.html,"[""I didn't know my baby loved me so"", 'Until that letter come to let me know', ""Now I pack my bags and then I'll go"", ""And catch the first train I see headin' South"", 'If I got this letter in Idaho', ""Where snow's so deep it wouldn't let me go"", ""I'd went hog wild and melted all that snow"", ""And caught the first train I saw headin' South"", 'If I got this letter in Iowa', 'Nothing in this world could make me stay', ""I'd grab my hat and then been on my way"", ""And caught the first train I saw headin' South"", ""I didn't know my baby loved me so"", 'Until that letter come to let me know', ""Now I pack my bags and then I'll go"", ""And catch the first train I see headin' South"", ""I didn't know my baby loved me so"", 'Until that letter come to let me know', ""Now I'll pack my bags and then I'll go"", ""And catch the first train I see headin' South"", ""If I'd got this letter in Ohio"", 'With a busted back, two arms and broken toe', ""There'd be no hesitation I would go"", ""And catch the first train I saw headin' South"", 'But I got this letter up in Maine', 'You can bet your bottom dollar I feel the same', 'Every clickety-clack of drivers call her name', ""As I ride this first train I caught headin' South"", ""I didn't know my baby loved me so"", 'Until that letter come to let me know', ""Now I pack my bags and then I'll go"", ""And catch the first train I see headin' South""]"
(Now And Then There's) A Fool Such As I,"Reeves, Jim",1959,https://www.azlyrics.com/lyrics/jimreeves/nowandthentheresafoolsuchasi.html,"[""Pardon me if I'm sentimental when we say goodbye"", ""Don't be angry with me should I cry"", ""When you're gone, yet I'll dream "", 'A little dream as years go by', ""Now and then there's a fool such as I"", ""Now and then there's a fool such as I am over you"", 'You taught me how to love and now ', 'You say that we are through', ""I'm a fool but I love you dear, I'll miss you until I die"", ""Now and then there's a fool such as I"", ""Now and then there's a fool such as I am over you"", 'You taught me how to love and now ', 'You say that we are through', ""I'm a fool but I love you dear until the day I die"", ""Now and then there's a fool such as I...""]"
Not As A Stranger,Frank Sinatra,1959,https://www.azlyrics.com/lyrics/franksinatra/notasastranger.html,"['I think of you, my love, not as a stranger,', ""Although it's true, my love we've only met."", 'Yet I know your smile and I know your sigh,', ""Know them well from dreams I can't forget."", ""We've kissed like this before, you are not a stranger,"", 'A thousand times or more.', ""'Neath stars above, now the path is clear,"", ""For at last you're here, not as a stranger dear,"", 'But my own true love.']"
What Kind Of Man Are You,Ray Charles,1959,https://www.azlyrics.com/lyrics/raycharles/whatkindofmanareyou.html,"['What kind of man are you', 'Oh, why do I love you so', 'What kind of man are you', 'Yeah, yeah, when you love me no more', 'What kind of man are you', ""Why can't I let you go"", 'I wanna know, I wanna know, I wanna know about you', 'What kind of man are you', ""I just can't satisfy"", 'What kind of man are you', 'Oh yeah, no matter how I try', 'What kind of man are you', 'Yeah, yeah, why do you tell me lies', 'I wanna know, I wanna know, I wanna know about you', 'What kind of man are you', ""I'm always left alone"", 'What kind of man are you', 'How long can this go on', 'What kind of man are you', 'Oh, help me somebody to know right from wrong', 'I wanna know, I wanna know, I wanna know about you']"
No One To Cry To,Eddy Arnold,1959,https://www.azlyrics.com/lyrics/eddyarnold/noonetocryto.html,"['No one to cry to no one to say goodnight', 'No one to tell my troubles to', 'No one to sigh to no one to hold me tight', ""No one to cheer me when I'm blue"", ""I go home to my lonely room and find there's no one there"", 'And each night I beg of you please answer this one prayer', 'And give me someone to cry to someone to say I do', 'Someone to whisper I love you', ""If I've done something very wrong oh please forgive me dear"", ""Won't you promise from now on I'll always find you near"", 'Please give me someone to cry to someone to say I do', 'Someone to whisper I love you']"
"Oh Johnny, Oh Johnny, Oh!","Lee, Peggy",1959,https://www.azlyrics.com/lyrics/peggylee/ohjohnnyohjohnnyoh.html,"['Oh, Johnny, oh, Johnny', 'How you can love', 'Oh, Johnny, oh, Johnny', 'Heavens above', 'You make my sad heart jump with joy', ""And when you're near I just can't sit still a minute"", ""I'm so, oh, Johnny, oh, Johnny"", 'Please tell me dear what makes me love you so', ""You're not handsome, it's true"", 'But when I look at you', 'I just, oh, Johnny, oh, Johnny, oh', 'You make my sad heart jump with joy', ""And when you're near I just can't sit still a minute"", ""I'm so, oh, Johnny, oh, Johnny"", 'Please tell me dear what makes me love you so', ""You're not handsome, it's true"", 'But when I look at you', 'I just, oh, Johnny, oh, Johnny', 'Oh, Johnny', 'Oh, Johnny oh!']"
Then You've Never Been Blue,"Fitzgerald, Ella",1960,https://www.azlyrics.com/lyrics/ellafitzgerald/thenyouveneverbeenblue.html,"[""If you've never had to count a million sheep"", ""Then you've never been blue, never been blue"", ""If you've never had to cry yourself to sleep"", ""Then you've never been blue, never been blue"", 'I know I could go on laughing at trouble', 'Plain trouble', 'But when it concerns the heart', 'The pain seems doubled', 'Never worry about a little hurt or two', ""There's nothing at all bothering you"", ""If you've never had a pal who stole your gal"", ""Then you've never known you've never been blue"", 'Something that this life will mind is plain, honey', ""That's funny"", ""When you're miles away from home"", ""It's not so sunny"", 'No one ever knows what I go through', 'While someone at home is babying you', ""If you've never had to miss a goodnight kiss"", ""Then you've never known you've never been blue""]"
September Song,Tony Bennett,1960,https://www.azlyrics.com/lyrics/tonybennett/septembersong.html,"['When I was a young man', 'Courting the girls', 'I played me a waiting game', 'If a maid refused me with tossing curls', 'I let the old Earth take a couple of whirls', 'While I plied her with tears in lieu of pearls', 'And as time came around', 'She came my way', 'As time came around', 'She came', ""But, it's a long, long while from May to December"", 'But the days grow short when you reach September', 'When the autumn weather turns the leaves to flame', ""One hasn't got time for the waiting game"", 'Oh, the days dwindle down to a precious few', 'September, November', ""And these few precious days I'll spend with you"", ""These precious days I'll spend with you"", 'And the wine dwindles down to a precious brew', 'September, November', ""And these few vintage years I'll spend with you"", ""These precious years I'll spend with you""]"
My Kinda Love,Doris Day,1960,https://www.azlyrics.com/lyrics/dorisday/mykindalove.html,"['Your kinda love, his kinda love', ""Keeps me believing, although you're deceiving"", 'His kinda love, one way to paradise', 'Your kinda lips, his kinda lips', 'When love comes stealing, encourage that feeling', 'His kinda love, one way to paradise', ""Although you're happy today"", 'You may be gone tomorrow', ""Love comes but once, don't be a dunce"", 'When you need it, steal it, beg or borrow', ""I'm fond of you, you're fond of me"", 'Tell him you love me and hug me and squeeze me', 'His kinda love, one way to paradise', ""Although you're happy today"", 'You may be gone tomorrow', ""Love comes but once, don't be a dunce"", 'When you need it, beg or steal or borrow', ""I'm fond of you, you're fond of me"", 'Tell him you love me and hug me and squeeze me', 'His kinda love, one way to paradise']"
Transfusion Blues,"Cash, Johnny",1960,https://www.azlyrics.com/lyrics/johnnycash/transfusionblues.html,"[""Early one mornin' while makin' the rounds"", 'Took a transfusion and I shot my woman down', 'Went right home and I went to bed', ""I stuck that lovin' 44 beneath my head"", ""Got up next mornin' and I grabbed that gun"", 'Took a transfusion and away I run', 'Made a good run but I run too slow', 'They overtook me down in Juarez Mexico', ""Late in the hot joints takin' the pills"", 'In walked the sheriff from Jericho Hill', 'He said, ""Willy Lee your name is not Jack Brown', 'You\'re the dirty hack that shot your woman down""', 'Said, ""Yes, oh yes my name is Willy Lee', 'If you\'ve got a warrant just a read it to me""', 'Shot her down because she made me slow', 'I thought I was her daddy but she had five more', 'When I was arrested I was dressed in black', 'Put me on a train and they took me back', 'Had no friends for to go my bail', 'They slapped my dried up carcass in that country jail', 'Into the courtroom my trial began', 'Where I was handled by twelve honest men', 'Just before the jury started out', 'I saw that little judge commenced to look about', 'In about five minutes in walked the man', 'Holding the verdict in his right hand', 'Verdict read in the first degree', 'I hollered, ""Lowdy, Lowdy have a mercy on me""', 'The judge he smiled as he picked up his been', 'Ninety-nine years in the San Quentin pen', 'Ninety-nine years underneath that ground', ""I can't forget the day I shot my woman down"", 'Come on you guys and listen unto me', 'Lay off that liquor and let that transfusion be']"
Window Up Above,Wanda Jackson,1961,https://www.azlyrics.com/lyrics/wandajackson/windowupabove.html,"[""I've been living a new way of life that I love so"", ""But I can see the clouds're gathering and the storm will wreck our home"", ""But last night you held her tightly and you didn't even shove"", 'This is true for I was watching from the window up above', 'You must have thought I was sleeping and I wish that I had been', ""But it's best to get to know you and the way your heart can sin"", 'I thought we belonged together and our hearts fit like a glove', 'But I was wrong for I was watching from the window up above', 'From my eyes the teardrops started as I listened on and on', 'Heard you whisper to her softly that our marriage was all wrong', ""But I hope she makes you happy and you'll never lose her love"", 'I lost mine while I was watching from the window up above', 'Yes, I hope she makes you happy...']"
Oh! Carol,Neil Sedaka,1961,https://www.azlyrics.com/lyrics/neilsedaka/ohcarol.html,"['Oh! Carol', 'I am but a fool', 'Darling, I love you', 'Though you treat me cruel', 'You hurt me', 'And you make me cry', 'But if you leave me', 'I will surely die', 'Darling, there will never be another', 'Cause I love you so', ""Don't ever leave me"", ""Say you'll never go"", 'I will always want you for my sweet heart', 'No matter what you do', 'Oh! Carol', ""I'm so in love with you"", 'Oh! Carol', 'I am but a fool', 'Darling, I love you', 'Though you treat me cruel', 'You hurt me', 'And you make me cry', 'But if you leave me', 'I will surely die', 'Darling, there will never be another', 'Cause I love you so', ""Don't ever leave me"", ""Say you'll never go"", 'I will always want you for my sweet heart', 'No matter what you do', 'Oh! Carol', ""I'm so in love with you""]"
Medley: One Kiss / My Romance / The Vagabond King Waltz,"Lee, Peggy",1961,https://www.azlyrics.com/lyrics/peggylee/medleyonekissmyromancethevagabondkingwaltz.html,"['One kiss, one man to save it for', 'One love for him alone', 'One word, one vow, and nothing more', ""To tell him I'm his own"", 'One magic night within his arms', ""With passion's flower unfurled"", 'But I will try to love only one man', 'And no other man in the world', ""My romance doesn't have to have a moon in the sky"", ""My romance doesn't need a blue lagoon standing by"", 'No month of May, no twinkling stars', 'No hideaway, nor soft guitars', ""My romance doesn't need a castle rising in Spain"", 'Or a dance to a constantly surprising refrain', 'Wide awake I can make my most fantastic dreams come true', ""My romance doesn't need a thing"", 'So never seek to bind me', 'Never hope to know', 'Take me as you find me', 'Love and let me go', ""For the love's we leave behind us"", 'Change or fade away', 'Nevermind for you are mine today', ""You're mine, you're mine today""]"
Backtrack,"Young, Faron",1961,https://www.azlyrics.com/lyrics/faronyoung/backtrack.html,"[""Well, I've never been so lonely"", ""And I've never been so blue"", ""I'm leaving in the morning"", 'Gonna backtrack to you', ""Your picture's here beside me"", 'And never leaves my sight', ""I'm kissin' like I'm kissin' you"", ""Oh, how I'm missin' you tonight"", 'Well, tomorrow night will be a different story', 'Well, I get to hold you in my arms again', 'Will you find it in your heart to forget me', ""If you do how little fool I've been"", ""I'm hoping and I'm praying"", 'That all my prayers all come true', ""I'm leaving in the morning"", 'Gonna backtrack to you', 'Well, tomorrow night will be a different story', 'Well, I get to hold you in my arms again', 'Will you find it in your heart to forget me', ""If you do how little fool I've been"", 'Gonna backtrack to you', 'Gonna backtrack to you', 'Gonna backtrack to you...']"
Last Letter,Wanda Jackson,1961,https://www.azlyrics.com/lyrics/wandajackson/lastletter.html,"['Why must you treat me as if I were only a friend', ""What have I done that's made you so different and cold"", ""Sometimes I wonder if you'll be contented again"", 'Will you be happy when you are withered and old', 'I cannot offer you diamonds or mansions so fine', 'I cannot offer you clothes that your young body crave', ""But if you'll say that forever that you will be mine"", ""Think of the heartaches the tears and the sorrow you'll save"", ""When you are weary and tired of another one's gold"", 'When you are lonely remember this letter my own', ""Don't try to answer though I've suffered anguish untold"", ""If you don't love me I wish you would leave me alone"", 'While I am writing this letter I think of the past', 'And of the promises that you are breaking so free', ""But soon I'll bid my farewells to this whole world at last"", 'I will be gone when you read this last letter from me']"
Down On The Corner Of Love,"Owens, Buck",1962,https://www.azlyrics.com/lyrics/buckowens/downonthecorneroflove.html,"[""You'll find me hangin' around"", ""It's there I'll be found"", 'Down on the corner of love', 'Beneath the stars that shine', 'And the neon signs', ""I'll be down on the corner of love"", 'When night starts to fall', 'And love starts to call', 'Down on the corner of love', ""You'll find me hangin' around"", ""It's there I'll be found"", 'Down on the corner of love', ""When it's late in the eve'nins"", ""And I can't help but feelin'"", ""That my heart you're a steelin'"", ""'Neath the stars up above"", 'When the sun goes down', ""And the moon comes 'round"", ""I'll be down on the corner of love"", ""When you're passin' by"", 'Too lonesome to cry', 'Down on the corner of love', 'Just stop for a while', ""I'll teach you to smile"", 'Down on the corner of love', 'A love that you had', 'Has treated you bad', 'Down on the corner of love', 'Forget what you knew', ""We'll start live anew"", 'Down on the corner of love', ""When it's late in the eve'nins"", ""And I can't help but feelin'"", ""That my heart you're a steelin'"", ""'Neath the stars up above"", 'When the sun goes down', ""And the moon comes 'round"", ""I'll be down on the corner of love"", ""When it's late in the eve'nins"", ""And I can't help but feelin'"", ""That my heart you're a steelin'"", ""'Neath the stars up above"", 'When the sun goes down', ""And the moon comes 'round"", ""I'll be down on the corner of love...""]"
I Have But One Heart,"Martin, Dean",1962,https://www.azlyrics.com/lyrics/deanmartin/ihavebutoneheart.html,"['I have but one heart', 'This heart I bring you', 'I have but one heart', 'To share with you', 'I have but one dream', 'That I can cling to', 'You are the one dream', 'I pray comes true', 'My darling until I saw you', 'I never felt this way', 'And nobody else before you', 'Ever has heard me say', 'You are my one love', 'My life I live for you', 'I have but one heart', 'To give to you', 'You are my one love', 'My life I live for you', 'I have but one heart', 'To give to you']"
Coquette,Dinah Washington,1962,https://www.azlyrics.com/lyrics/dinahwashington/coquette.html,"['Hear me, why you keep fooling', 'Little coquette, making fun of the one who loves you', 'Breaking hearts you are ruling', 'Little coquette, true hearts tenderly dreaming of you', ""Someday you'll fall in love as I fell in love with you"", 'Maybe the one you love will just be fooling too', 'And when you are alone with all your regrets', 'You know, my little coquette, I love you', ""Someday you'll fall in love as I fell in love with you"", 'Now, maybe the one you love will just be fooling too', 'And when you are alone with all your regrets', 'Now, you know, my little coquette, I love you']"
Crying At Daybreak,Howlin' Wolf,1962,https://www.azlyrics.com/lyrics/howlinwolf/cryingatdaybreak.html,"[""Tell me baby, what's done matter now"", 'Today been a long and lonesome day', 'Lonesome day', ""Smokestack lightnin', shining just like gold"", 'Honey do you hear me crying?', 'Today been a long and sad old day', ""Don't you hear me crying"", 'Tell me baby what you got on your mind', ""Why don't you hear me crying"", ""Ain't gonna marry, ain't gonna settle down"", ""Why don't you hear me crying""]"
Jealous Lover,Martha And The Vandellas,1963,https://www.azlyrics.com/lyrics/marthaandthevandellas/jealouslover.html,"[""You're jealous of me you think other fellas love me"", ""Well I don't care if they come or go"", ""Darling can't you see that no lover is returned by me"", ""Oh jealous lover can't you see"", ""Johnny's only teasin' when he said he'd fall"", ""'Cause you know you and I were playin' records all along"", ""Jealous lover can't you see that you're the only one that I love"", ""No matter what they say it's you and only you all the way"", 'Oh jealous lover though handsome boys may pass me by', ""You're still my kind of guy"", ""You're not very handsome but you're so sweet and kind"", 'Oh come to me and let me dry your weeping eyes', ""Then you'll see the light"", ""Then you'll know it's you I love with all my might"", 'As long as day is day [?]', ""Right here in my heart you're gonna stay"", 'Jealous lover, jealous lover', 'As long as day is day', ""Right here in my heart you're gonna stay"", 'Jealous lover jealous lover']"
I'm Learning About Love,Brenda Lee,1963,https://www.azlyrics.com/lyrics/brendalee/imlearningaboutlove.html,"[""I'm learning 'bout love got the book by my side"", 'I got the moon and the stars there to be my guide', 'Yes if you just walk talk in a loving way baby', 'Love until the break of day', ""I'm learning 'bout love put hand in mine"", ""We'll learn about love till the end of time"", 'Yes if you just walk talk in a loving way baby', 'Love until the break of day', 'Lesson one, hold me tight, lesson two, lips stay close to mine', ""Lesson three, study as you go, lesson four, you'll be mine"", ""I'm learning 'bout love got the book by my side"", 'I got the moon and the stars there to be my guide', 'Yes if you just walk talk in a loving way baby', 'Love until the break of day', 'Lesson one, hold me tight, lesson two, lips stay close to mine', ""Lesson three, study as you go, lesson four, you'll be mine"", ""I'm learning 'bout love got the book by my side"", 'I got the moon and the stars there to be my guide', 'Yes if you just walk talk in a loving way baby', 'Love until the break of day', 'Oh give me love love love Yeah love love love', 'I said love love love']"
Ballad Of Paladin,Faron Young,1963,https://www.azlyrics.com/lyrics/faronyoung/balladofpaladin.html,"['Have gun will travel', 'Reads the card of a man', 'A knight without armor', 'In a savage land', 'His fast gun hired', 'Heeds the calling wind', 'A soldier of fortune', 'Is a man called Paladin', 'Paladin, Paladin', 'Where do you roam', 'Paladin, Paladin', 'Far, far from home', 'He travels on', 'To wherever he must', 'A chess knight of silver', 'Is his badge of trust', 'There are campfire legends', 'That the plainsmen sing of', 'A man with the gun', 'Of the man called Paladin', 'Paladin, Paladin', 'Where do you roam', 'Paladin, Paladin', 'Far, far from home', 'Far, far from home', 'Far, far from home...']"
Are You Lonesome Tonight?,Elvis Presley,1963,https://www.azlyrics.com/lyrics/elvispresley/areyoulonesometonight.html,"['Are you lonesome tonight', 'Do you miss me tonight?', 'Are you sorry we drifted apart?', 'Does your memory stray to a bright summer day', 'When I kissed you and called you sweetheart?', 'Do the chairs in your parlor seem empty and bare?', 'Do you gaze at your doorstep and picture me there?', 'Is your heart filled with pain, shall I come back again?', 'Tell me dear, are you lonesome tonight?', ""I wonder if you're lonesome tonight"", ""You know someone said that the world's a stage"", 'And each of us must play a part', 'Fate had me playing in love with you as my sweetheart', 'Act one was where we met', 'I loved you at first glance', 'You read your lines so cleverly and never missed a cue', 'Then came act two, you seemed to change, you acted strange', ""And why I've never known"", 'Honey, you lied when you said you loved me', 'And I had no cause to doubt you', ""But I'd rather go on hearing your lies"", 'Than to go on living without you', ""Now the stage is bare and I'm standing there"", 'With emptiness all around', ""And if you won't come back to me"", 'Then they can bring the curtain down', 'Is your heart filled with pain, shall I come back again?', 'Tell me dear, are you lonesome tonight?']"
High On A Hilltop,Buck Owens,1963,https://www.azlyrics.com/lyrics/buckowens/highonahilltop.html,"['High on a hilltop overlooking a city', 'I watched the bright lights as they gleam', ""For somewhere you're dancing in some dingy bar room"", 'And the lure of the gay life takes the place of our dream', 'High on a hilltop my heart cries, Oh Lord', 'Forgive her she knows not the way', 'And give me the power to believe and some day', ""High on a hilltop together we'll pray"", '[Instrumental]', 'I can vision a rounder with a line so smooth', 'With a promise of riches for you', ""But you see not the danger for you're silly with booze"", 'And from high on a hilltop I see the devil in you', 'High on a hilltop my heart cries, Oh Lord', 'Forgive her she knows not the way', 'Just give me the power to believe and some day', ""High on a hilltop together we'll pray...""]"
Hobo's Lullaby,"Kingston Trio, The",1963,https://www.azlyrics.com/lyrics/kingstontrio/hoboslullaby.html,"['Go to sleep, you weary hobo. Watch the towns go drifting by', ""Can't you hear the rails a-singin'? That's the hobo's lullaby"", ""Don't you worry about tomorrow. Let tomorrows come and go"", ""Tonight you've got a nice, warm boxcar, free from all the wind and snow"", 'Go to sleep, you weary hobo. Watch the towns go drifting by', ""Can't you hear the rails a-singin'? That's the hobo's lullaby"", 'I know the police cause you trouble. They cause trouble everywhere', ""But when you die and go to heaven, there'll be no policemen there"", 'Go to sleep, you weary hobo. Watch the towns go drifting by', ""Can't you hear the rails a-singin'? That's the hobo's lullaby"", ""Can't you hear the rails a-singin', ooh? That's the hobo's lullaby""]"
Love You Till I Die,"Lee, Brenda",1963,https://www.azlyrics.com/lyrics/brendalee/loveyoutillidie.html,"['Love you till I die my baby,', 'Love you till I die my baby,', 'Love you till I die--', 'True love cannot die my baby,', 'True love cannot die my baby,', 'Love you till I die--', ""We'll be heavens' clover, someday when we are gone"", 'And love will start all over', 'True love a goes on and on--', 'Love me till you die my baby,', 'Say you love me as my baby,', 'Love you till I die--', ""We'll be heavens' clover,"", 'Someday when we are gone', 'And love will start all over', 'True love a goes on and on--', 'Love you till I die my baby,', 'Love you till I die my baby,', 'Love you till I die--']"
