Energy Source,Maryland,Nebraska,North Carolina,Maine,Florida,National Average,Difference,Analysis
TotalPrice10-11,111.74,115.71,114.55,116.84,115.24,115.93,-4.19,Maryland is below than the National Average
TotalPrice11-12,100.94,102.95,102.45,100.46,100.59,101.25,-0.31,Maryland is below than the National Average
TotalPrice12-13,98.91,97.58,98.32,99.23,98.32,98.12,0.79,Maryland is greater than the National Average
TotalPrice13-14,99.14,99.33,98.42,103.48,99.12,99.49,-0.35,Maryland is below than the National Average
BiomassC2010,51683,109887,134325,114477,246789,83054.61,-31371.61,Maryland is below than the National Average
BiomassC2011,49917,116589,141002,113899,245557,84130.71,-34213.71,Maryland is below than the National Average
BiomassC2012,49822,107042,142163,113103,244646,83330.31,-33508.31,Maryland is below than the National Average
BiomassC2013,54874,107097,148324,116850,253961,87543.02,-32669.02,Maryland is below than the National Average
BiomassC2014,53814,102397,145560,111979,250043,90424.31,-36610.31,Maryland is below than the National Average
CoalC2010,266067,254552,749091,2279,637416,408399.61,-142332.61,Maryland is below than the National Average
CoalC2011,241190,285384,624783,1542,552730,385565.84,-144375.84,Maryland is below than the National Average
CoalC2012,192334,272587,534713,1299,482984,340802.45,-148468.45,Maryland is below than the National Average
CoalC2013,183191,292956,493771,1657,505155,353701.45,-170510.45,Maryland is below than the National Average
CoalC2014,201220,276544,501592,2142,557882,352874,-151654,Maryland is below than the National Average
CoalP2010,58798,0,0,0,0,428064.75,-369266.75,Maryland is below than the National Average
CoalP2011,65871,0,0,0,0,432495.08,-366624.08,Maryland is below than the National Average
CoalP2012,54088,0,0,0,0,403633.71,-349545.71,Maryland is below than the National Average
CoalP2013,45290,0,0,0,0,390231.39,-344941.39,Maryland is below than the National Average
CoalP2014,46194,0,0,0,0,395506.65,-349312.65,Maryland is below than the National Average
CoalE2010,894.1,366.3,2651.9,8.7,2218.8,989.68,-95.58,Maryland is below than the National Average
CoalE2011,881.3,437.9,2283.1,6.5,1959.7,989.03,-107.73,Maryland is below than the National Average
CoalE2012,681.1,427.6,2025.9,6.1,1697.6,887.16,-206.06,Maryland is below than the National Average
CoalE2013,620.7,423.1,1881.8,8.1,1736.5,892.48,-271.78,Maryland is below than the National Average
CoalE2014,595.2,395.5,1805,10.5,1857.5,884.69,-289.49,Maryland is below than the National Average
CoalPrice2010,3.36,1.44,3.54,3.82,3.48,2.44,0.92,Maryland is greater than the National Average
CoalPrice2011,3.65,1.53,3.65,4.2,3.55,2.61,1.04,Maryland is greater than the National Average
CoalPrice2012,3.54,1.57,3.79,4.69,3.51,2.71,0.83,Maryland is greater than the National Average
CoalPrice2013,3.39,1.44,3.81,4.87,3.44,2.7,0.69,Maryland is greater than the National Average
CoalPrice2014,2.96,1.43,3.6,4.89,3.33,2.72,0.24,Maryland is greater than the National Average
ElecC2010,222925,101846,465448,39346,788887,251206.2,-28281.2,Maryland is below than the National Average
ElecC2011,217002,101255,447262,38949,768009,250872.1,-33870.1,Maryland is below than the National Average
ElecC2012,210908,105185,437026,39446,752941,247179.29,-36271.29,Maryland is below than the National Average
ElecC2013,211201,104750,442809,40449,757189,249200.9,-37999.9,Maryland is below than the National Average
ElecC2014,210465,103118,454249,40953,771379,251865.75,-41400.75,Maryland is below than the National Average
ElecE2010,8301,2244.2,11822.8,1480.8,24459.8,7174.76,1126.24,Maryland is greater than the National Average
ElecE2011,7590.5,2338.2,11332.3,1435.8,23880.2,7215.86,374.64,Maryland is greater than the National Average
ElecE2012,6973.7,2581.1,11720.6,1365.7,23028.6,7075.74,-102.04,Maryland is below than the National Average
ElecE2013,7215.5,2682.6,11991.2,1405.7,22678.3,7295.48,-79.98,Maryland is below than the National Average
ElecE2014,7464.6,2671.4,12421.6,1518.4,24339.3,7644.54,-179.94,Maryland is below than the National Average
ElecPrice2010,37.24,22.03,25.4,37.64,31.01,29.7,7.54,Maryland is greater than the National Average
ElecPrice2011,34.98,23.09,25.34,36.86,31.09,30.32,4.66,Maryland is greater than the National Average
ElecPrice2012,33.07,24.54,26.82,34.62,30.58,30.41,2.66,Maryland is greater than the National Average
ElecPrice2013,34.16,25.61,27.08,34.75,29.95,31.13,3.03,Maryland is greater than the National Average
ElecPrice2014,35.47,25.91,27.35,37.08,31.55,32.23,3.24,Maryland is greater than the National Average
FossFuelC2010,963419,666348,1869784,277354,3491560,1586225.31,-622806.31,Maryland is below than the National Average
FossFuelC2011,900614,690557,1704725,268118,3357837,1558353.12,-657739.12,Maryland is below than the National Average
FossFuelC2012,857053,668116,1654828,244896,3327632,1520133.76,-663080.76,Maryland is below than the National Average
FossFuelC2013,847590,705960,1734549,253371,3273949,1560181.41,-712591.41,Maryland is below than the National Average
FossFuelC2014,878993,691958,1761282,252829,3350291,1577398.73,-698405.73,Maryland is below than the National Average
GeoC2010,548,1151,931,70,9516,4078.04,-3530.04,Maryland is below than the National Average
GeoC2011,532,1195,903,68,9799,4162.98,-3630.98,Maryland is below than the National Average
GeoC2012,570,1212,967,72,10056,4148.84,-3578.84,Maryland is below than the National Average
GeoC2013,570,1212,967,72,10056,4196.2,-3626.2,Maryland is below than the National Average
GeoC2014,570,1212,967,72,10056,4205.71,-3635.71,Maryland is below than the National Average
GeoP2010,0,0,0,0,0,298.43,-298.43,Maryland is below than the National Average
GeoP2011,0,0,0,0,0,300.29,-300.29,Maryland is below than the National Average
GeoP2012,0,0,0,0,0,305.16,-305.16,Maryland is below than the National Average
GeoP2013,0,0,0,0,0,309.33,-309.33,Maryland is below than the National Average
GeoP2014,0,0,0,0,0,311.33,-311.33,Maryland is below than the National Average
HydroC2010,16267,12818,46405,37174,1731,49775.31,-33508.31,Maryland is below than the National Average
HydroC2011,24748,15713,37828,38660,1769,60840.25,-36092.25,Maryland is below than the National Average
HydroC2012,15764,11962,35475,35519,1432,51543.16,-35779.16,Maryland is below than the National Average
HydroC2013,16477,10723,65838,33970,2425,50242.75,-33765.75,Maryland is below than the National Average
HydroC2014,15364,11010,45230,34457,2010,48364.22,-33000.22,Maryland is below than the National Average
HydroP2010,1667,1314,4757,3810,177,5102,-3435,Maryland is below than the National Average
HydroP2011,2547,1617,3893,3979,182,6261.84,-3714.84,Maryland is below than the National Average
HydroP2012,1657,1257,3728,3733,151,5416.39,-3759.39,Maryland is below than the National Average
HydroP2013,1727,1124,6901,3560,254,5265.98,-3538.98,Maryland is below than the National Average
HydroP2014,1616,1158,4756,3623,211,5085.57,-3469.57,Maryland is below than the National Average
NatGasC2010,217744,169620,308710,80988,1180462,483009.92,-265265.92,Maryland is below than the National Average
NatGasC2011,199223,173666,311189,75061,1235953,490489.88,-291266.88,Maryland is below than the National Average
NatGasC2012,216678,161774,367948,70451,1348390,512516.63,-295838.63,Maryland is below than the National Average
NatGasC2013,207422,178752,445898,66014,1245287,526630.1,-319208.1,Maryland is below than the National Average
NatGasC2014,217440,179544,460876,62355,1246670,539474.45,-322034.45,Maryland is below than the National Average
NatGasE2010,2099.6,1112.5,2742.5,624,7967.6,3162.8,-1063.2,Maryland is below than the National Average
NatGasE2011,1935.3,1073.9,2547.1,569.2,7700.7,3057.72,-1122.42,Maryland is below than the National Average
NatGasE2012,1802.8,837.2,2423.1,530.9,6982.5,2604.5,-801.7,Maryland is below than the National Average
NatGasE2013,1912.9,994.8,3076.6,590.9,6852.9,2972.78,-1059.88,Maryland is below than the National Average
NatGasE2014,2151.4,1125,3500,623.1,7468,3412.14,-1260.74,Maryland is below than the National Average
NatGasPrice2010,9.94,6.87,9.12,7.88,6.91,8.35,1.59,Maryland is greater than the National Average
NatGasPrice2011,10.03,6.55,8.38,7.84,6.33,8.25,1.78,Maryland is greater than the National Average
NatGasPrice2012,8.63,5.44,6.69,7.62,5.27,7.16,1.47,Maryland is greater than the National Average
NatGasPrice2013,9.42,5.8,6.96,9.07,5.59,7.68,1.74,Maryland is greater than the National Average
NatGasPrice2014,10.21,6.54,7.66,10.21,6.04,8.38,1.83,Maryland is greater than the National Average
LPGC2010,13030,12111,47840,10859,20915,55313.49,-42283.49,Maryland is below than the National Average
LPGC2011,12743,10877,41807,10996,19205,55665.76,-42922.76,Maryland is below than the National Average
LPGC2012,9977,9757,36513,10825,17524,57094.27,-47117.27,Maryland is below than the National Average
LPGC2013,11389,12280,33150,13201,16807,62092.9,-50703.9,Maryland is below than the National Average
LPGC2014,12185,10349,36489,12801,16502,60589.2,-48404.2,Maryland is below than the National Average
LPGE2010,386.6,236.1,1273.9,294.4,606.1,1072.68,-686.08,Maryland is below than the National Average
LPGE2011,425.4,259.5,1170.5,332,605.1,1278.38,-852.98,Maryland is below than the National Average
LPGE2012,331.8,211.5,943.7,327.6,466.2,995.53,-663.73,Maryland is below than the National Average
LPGE2013,375,287.7,868.5,382.6,448.1,1079.91,-704.91,Maryland is below than the National Average
LPGE2014,432.2,280.1,1033.4,410.8,481.4,1150.05,-717.85,Maryland is below than the National Average
LPGPrice2010,29.67,19.5,26.63,27.12,28.98,24.79,4.88,Maryland is greater than the National Average
LPGPrice2011,33.38,23.86,28,30.19,31.51,27.64,5.74,Maryland is greater than the National Average
LPGPrice2012,33.26,21.67,25.85,30.27,26.6,25.7,7.56,Maryland is greater than the National Average
LPGPrice2013,32.92,23.43,26.2,28.98,26.66,26.07,6.85,Maryland is greater than the National Average
LPGPrice2014,35.47,27.06,28.32,32.09,29.18,28.54,6.93,Maryland is greater than the National Average
GDP2010Q1,308313,89088,413825,50692,719622,285863.18,22449.82,Maryland is greater than the National Average
GDP2010Q2,313056,91058,414745,51347,728391,289894.24,23161.76,Maryland is greater than the National Average
GDP2010Q3,315436,92357,416720,51789,733761,293183.61,22252.39,Maryland is greater than the National Average
GDP2010Q4,321077,93490,424212,51389,737272,296531.33,24545.67,Maryland is greater than the National Average
GDP2010,314470.5,91498.25,417375.5,51304.25,729761.5,291368.09,23102.41,Maryland is greater than the National Average
GDP2011Q1,318760,97540,422165,51014,726334,296641.75,22118.25,Maryland is greater than the National Average
GDP2011Q2,322296,98309,431611,51176,735398,300962.18,21333.82,Maryland is greater than the National Average
GDP2011Q3,326875,99278,430792,51460,735955,303413.04,23461.96,Maryland is greater than the National Average
GDP2011Q4,327839,101074,430355,52273,743290,307296.78,20542.22,Maryland is greater than the National Average
GDP2011,323942.5,99050.25,428730.75,51480.75,735244.25,302078.44,21864.06,Maryland is greater than the National Average
GDP2012Q1,330817,100457,439578,52430,755874,310979.1,19837.9,Maryland is greater than the National Average
GDP2012Q2,330227,102392,437297,53197,759527,313881.55,16345.45,Maryland is greater than the National Average
GDP2012Q3,333833,102509,441483,52795,772349,315959.69,17873.31,Maryland is greater than the National Average
GDP2012Q4,330818,103294,438972,52002,770832,317316.12,13501.88,Maryland is greater than the National Average
GDP2012,331423.75,102163,439332.5,52606,764645.5,314534.11,16889.64,Maryland is greater than the National Average
GDP2013Q1,334945,107893,446371,53200,785988,320123.82,14821.18,Maryland is greater than the National Average
GDP2013Q2,335558,106244,449576,52902,788550,321812.78,13745.22,Maryland is greater than the National Average
GDP2013Q3,337289,107195,457455,53288,800948,325751.08,11537.92,Maryland is greater than the National Average
GDP2013Q4,341896,107418,464398,53809,813888,330257.04,11638.96,Maryland is greater than the National Average
GDP2013,337422,107187.5,454450,53299.75,797343.5,324486.18,12935.82,Maryland is greater than the National Average
GDP2014Q1,342513,107222,464633,53803,817288,330779.2,11733.8,Maryland is greater than the National Average
GDP2014Q2,349673,110920,470025,54627,830355,336376.31,13296.69,Maryland is greater than the National Average
GDP2014Q3,354088,111366,478751,55378,842257,341313.45,12774.55,Maryland is greater than the National Average
GDP2014Q4,354776,113145,484012,56308,852414,343149.86,11626.14,Maryland is greater than the National Average
GDP2014,350262.5,110663.25,474355.25,55029,835578.5,337904.71,12357.79,Maryland is greater than the National Average
CENSUS2010POP,5773552,1826341,9535483,1328361,18801310,6053834.08,-280282.08,Maryland is below than the National Average
POPESTIMATE2010,5788101,1829865,9559488,1327361,18852220,6065628.57,-277527.57,Maryland is below than the National Average
POPESTIMATE2011,5843833,1842232,9651502,1327930,19107900,6112188.86,-268355.86,Maryland is below than the National Average
POPESTIMATE2012,5891819,1855487,9748181,1328592,19355257,6159060.35,-267241.35,Maryland is below than the National Average
POPESTIMATE2013,5938737,1868969,9848917,1328702,19600311,6205833.94,-267096.94,Maryland is below than the National Average
POPESTIMATE2014,5976407,1881503,9943964,1330089,19893297,6252099.14,-275692.14,Maryland is below than the National Average
RBIRTH2011,12.65,14.02,12.6,9.51,11.23,12.78,-0.13,Maryland is below than the National Average
RBIRTH2012,12.39,13.93,12.33,9.63,11.13,12.59,-0.2,Maryland is below than the National Average
RBIRTH2013,12.32,13.93,12.26,9.59,10.95,12.56,-0.24,Maryland is below than the National Average
RBIRTH2014,12.26,13.84,12.14,9.52,10.87,12.48,-0.22,Maryland is below than the National Average
RDEATH2011,7.51,8.51,8.32,9.81,9.19,8.41,-0.9,Maryland is below than the National Average
RDEATH2012,7.41,8.23,8.2,9.6,9.03,8.3,-0.89,Maryland is below than the National Average
RDEATH2013,7.86,7.95,8.53,9.78,9.43,8.38,-0.52,Maryland is below than the National Average
RDEATH2014,7.95,7.82,8.46,9.88,9.48,8.4,-0.45,Maryland is below than the National Average
RNATURALINC2011,5.14,5.51,4.28,-0.3,2.04,4.36,0.78,Maryland is greater than the National Average
RNATURALINC2012,4.99,5.7,4.13,0.03,2.1,4.29,0.7,Maryland is greater than the National Average
RNATURALINC2013,4.46,5.98,3.73,-0.18,1.52,4.18,0.28,Maryland is greater than the National Average
RNATURALINC2014,4.31,6.03,3.67,-0.36,1.39,4.08,0.23,Maryland is greater than the National Average
RINTERNATIONALMIG2011,4.54,1.81,1.88,0.89,5.82,2.27,2.27,Maryland is greater than the National Average
RINTERNATIONALMIG2012,4.71,2.01,2.47,1,5.6,2.5,2.21,Maryland is greater than the National Average
RINTERNATIONALMIG2013,4.91,2.06,2.26,1.05,5.78,2.53,2.38,Maryland is greater than the National Average
RINTERNATIONALMIG2014,4.86,2.03,2.14,1.04,5.69,2.49,2.37,Maryland is greater than the National Average
RDOMESTICMIG2011,0.06,-0.64,3.17,0.06,5.54,0.31,-0.25,Maryland is below than the National Average
RDOMESTICMIG2012,-1.43,-0.49,3.3,-0.47,5.13,0.62,-2.05,Maryland is below than the National Average
RDOMESTICMIG2013,-1.51,-0.48,3.89,-1.1,4.92,0.77,-2.28,Maryland is below than the National Average
RDOMESTICMIG2014,-2.57,-1.36,3.66,0.4,7.02,-0.09,-2.48,Maryland is below than the National Average
RNETMIG2011,4.6,1.17,5.05,0.95,11.36,2.58,2.02,Maryland is greater than the National Average
RNETMIG2012,3.28,1.51,5.77,0.53,10.72,3.12,0.16,Maryland is greater than the National Average
RNETMIG2013,3.4,1.58,6.15,-0.06,10.7,3.31,0.09,Maryland is greater than the National Average
RNETMIG2014,2.29,0.67,5.8,1.44,12.7,2.4,-0.11,Maryland is below than the National Average
